Limited tf.compat.v2.summary API due to missing TensorBoard installation.
Using SEED = 466
/home/xianlli/dataset/HSI/urban/Urban_corrected.mat
img shape: (150, 160, 162)
img_patches_nonzero: (12048, 7, 7, 162)
x_patches shape: (12048, 7, 7, 162), labels: [1 2 3 4 5 6 7]
constructing hypergraph...
construction completed. training clustering network...
epoch
epoch 328 ==> loss=7.654247
epoch 329 ==> loss=7.6216397
epoch 330 ==> loss=7.58924
epoch 331 ==> loss=7.5570054
epoch 332 ==> loss=7.524928
epoch 333 ==> loss=7.492969
epoch 334 ==> loss=7.4612346
epoch 335 ==> loss=7.429607
epoch 336 ==> loss=7.3981543
epoch 337 ==> loss=7.366829
epoch 338 ==> loss=7.3357077
epoch 339 ==> loss=7.3047442
epoch 340 ==> loss=7.2739005
epoch 341 ==> loss=7.2432475
epoch 342 ==> loss=7.21275
epoch 343 ==> loss=7.1823635
epoch 344 ==> loss=7.152159
epoch 345 ==> loss=7.122116
epoch 346 ==> loss=7.0921717
epoch 347 ==> loss=7.062366
epoch 348 ==> loss=7.0327325
epoch 349 ==> loss=7.003211
epoch 350 ==> loss=6.9738665
epoch 351 ==> loss=6.9446363
epoch 352 ==> loss=6.915539
epoch 353 ==> loss=6.8865824
epoch 354 ==> loss=6.857748
epoch 355 ==> loss=6.8290515
epoch 356 ==> loss=6.8005295
epoch 357 ==> loss=6.7721024
epoch 358 ==> loss=6.743727
epoch 359 ==> loss=6.715569
epoch 360 ==> loss=6.687511
epoch 361 ==> loss=6.659543
epoch 362 ==> loss=6.6317296
epoch 363 ==> loss=6.6040683
epoch 364 ==> loss=6.576525
epoch 365 ==> loss=6.5491204
epoch 366 ==> loss=6.5218616
epoch 367 ==> loss=6.4947076
epoch 368 ==> loss=6.467713
epoch 369 ==> loss=6.4407973
epoch 370 ==> loss=6.414012
epoch 371 ==> loss=6.3873706
epoch 372 ==> loss=6.36084
epoch 373 ==> loss=6.334431
epoch 374 ==> loss=6.3081417
epoch 375 ==> loss=6.281956
epoch 376 ==> loss=6.2559257
epoch 377 ==> loss=6.229995
epoch 378 ==> loss=6.204125
epoch 379 ==> loss=6.1784515
epoch 380 ==> loss=6.1528397
epoch 381 ==> loss=6.1274214
epoch 382 ==> loss=6.1020203
epoch 383 ==> loss=6.0767937
epoch 384 ==> loss=6.051653
epoch 385 ==> loss=6.026622
epoch 386 ==> loss=6.001726
epoch 387 ==> loss=5.976898
